,Datetime,Open,High,Low,Close,240 avg,60 avg,delta 60 avg,buy,sell
69,2022-11-07 20:13:00,0.41130173206329346,0.41130173206329346,0.41130173206329346,0.41130173206329346,0.0,0.4143401438991229,-0.0001284706095854432,na,sell
130,2022-11-07 21:15:00,0.41089996695518494,0.41089996695518494,0.41089996695518494,0.41089996695518494,0.0,0.41134036680062613,-1.8692885835960849e-06,na,sell
170,2022-11-07 21:55:00,0.4055560827255249,0.4055560827255249,0.4055560827255249,0.4055560827255249,0.0,0.4111903970440229,-2.8826296329526047e-06,na,sell
377,2022-11-08 01:30:00,0.3794509470462799,0.3794509470462799,0.3794509470462799,0.3794509470462799,0.3878581319004297,0.3754245713353157,2.019604047139717e-05,buy,na
488,2022-11-08 03:24:00,0.3871864974498749,0.3871864974498749,0.3871864974498749,0.3871864974498749,0.38310819963614146,0.3894427478313446,-8.178253968552096e-07,na,sell
514,2022-11-08 03:51:00,0.38972577452659607,0.38972577452659607,0.38972577452659607,0.38972577452659607,0.3834890214105447,0.38949702580769857,-4.44427132602343e-07,na,sell
606,2022-11-08 05:35:00,0.38824325799942017,0.38824325799942017,0.38824325799942017,0.38824325799942017,0.3880990367382765,0.39032806009054183,-1.4951452612863014e-06,na,sell
695,2022-11-08 07:13:00,0.3891608715057373,0.3891608715057373,0.3891608715057373,0.3891608715057373,0.38874908462166785,0.38700118313233056,5.427747964859009e-06,buy,na
742,2022-11-08 08:04:00,0.38748055696487427,0.38748055696487427,0.38748055696487427,0.38748055696487427,0.3884815450757742,0.3876850704352061,1.014955341813173e-06,buy,na
789,2022-11-08 08:54:00,0.38501423597335815,0.38501423597335815,0.38501423597335815,0.38501423597335815,0.38799235671758653,0.3865090971191724,3.4042944510592754e-07,buy,na
876,2022-11-08 10:26:00,0.375530481338501,0.375530481338501,0.375530481338501,0.375530481338501,0.383549478277564,0.3760247007012367,5.867332220077515e-07,buy,na
895,2022-11-08 10:45:00,0.3762454390525818,0.3762454390525818,0.3762454390525818,0.3762454390525818,0.3825223798553149,0.37587314496437707,9.99396046003076e-06,buy,na
984,2022-11-08 12:21:00,0.3892679810523987,0.3892679810523987,0.3892679810523987,0.3892679810523987,0.38539822921156885,0.4003751104076703,-2.7742361028988693e-05,na,sell
1165,2022-11-08 15:34:00,0.3303526043891907,0.3303526043891907,0.3303526043891907,0.3303526043891907,0.35645190613965194,0.32102364152669904,1.67910630504281e-05,buy,na
1267,2022-11-08 17:19:00,0.33266183733940125,0.33266183733940125,0.33266183733940125,0.33266183733940125,0.3320386192450921,0.3343179101745288,-5.304502944156186e-06,na,sell
